,GEM plant ID,Plant name (English),Owner,Owner GEM entity ID,Parent (English),Parent GEM entity ID,Location address,Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,Plant age,Status,Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Retired year,latitude,longitude,geometry,GID_1,within_target_boundaries,which_boundary,GID_2,GID_3,GID_4,GID_5
1104,P100000120732,TYASA steel plant,Talleres y Aceros SA de CV,E100000130822,Talleres y Aceros SA de CV [100.0%],E100000130822 [100.0%],"Carretera Federal México-Veracruz Km. 321, s/n, interior 2, Ixtaczoquitlán, Veracruz 94450, Mexico",Ixtaczoquitlán,Veracruz,Mexico,Latin America and the Caribbean,"18.8692720, -97.0472630",exact,33,operating,1650.0,,,,1993,,,,,18.869272,-97.047263,POINT (-97.047263 18.869272),,0,,,,,
1105,P100000120733,Grupo Simec Apizaco Cholula steel plant,Aceros Especiales Simec Tlaxcala SA de CV,E100000131089,Grupo Simec SAB de CV [100.0%],E100000130728 [100.0%],"Carretera Federal México - Veracruz km 123 s/n, 90460 Tlaxcala, Mexico",Xaloztoc,Tlaxcala,Mexico,Latin America and the Caribbean,"19.3956280, -98.0887770",exact,7.64,operating,1140.0,,,,2018-07-01 00:00:00,,,,,19.395628,-98.088777,POINT (-98.088777 19.395628),,0,,,,,
1106,P100000120734,Ternium Apodaca steel plant,Ternium México SA de CV,E100000004192,unknown [10.8%]; Ternium Argentina SA; Ternium SA,E100000132388 [10.8%]; E100000130688; E100001000384,"Boulevard Carlos Salinas de Gortari Km 11.5, Apodaca (66600), Nuevo León",Apodaca,Nuevo León,Mexico,Latin America and the Caribbean,"25.7420850, -100.2364780",exact,33,operating,600.0,,,,1993,,,,,25.742085,-100.236478,POINT (-100.236478 25.742085),MEX.19_1,1,MEX.19_1,,,,
1107,P100000120735,Gerdau Corsa Tultitlán steel plant,Gerdau Corsa SAPI de CV,E100001010300,Gerdau SA [73.6%]; Grupo Córdova [25.0%],E100001010270 [73.6%]; E100001010301 [25.0%],"Primera Sur S/N, Independencia, Tultitlán, Edo. de México 54915",Tultitlán,State of México,Mexico,Latin America and the Caribbean,"19.6303550, -99.1803150",exact,42,operating,500.0,,,,1984,,,,,19.630355,-99.180315,POINT (-99.180315 19.630355),MEX.15_1,1,MEX.15_1,,,,
1108,P100000120736,Grupo Acerero steel plant,Grupo Acerero SA de CV,E100000130887,Grupo Fonderia SA de CV,E100002000035,"Eje 122 esq. Av. CFE, Zona Industrial, 78395 San Luis Potosí, S.L.P., México",San Luis Potosí,San Luis Potosí,Mexico,Latin America and the Caribbean,"22.0873280, -100.9019020",exact,22,construction,650.0,,,,2004,,,,,22.087328,-100.901902,POINT (-100.901902 22.087328),,0,,,,,
1109,P100000120736,Grupo Acerero steel plant,Grupo Acerero SA de CV,E100000130887,Grupo Fonderia SA de CV,E100002000035,"Eje 122 esq. Av. CFE, Zona Industrial, 78395 San Luis Potosí, S.L.P., México",San Luis Potosí,San Luis Potosí,Mexico,Latin America and the Caribbean,"22.0873280, -100.9019020",exact,22,operating,725.0,,,,2004,,,,,22.087328,-100.901902,POINT (-100.901902 22.087328),,0,,,,,
1110,P100000120737,Grupo Simec San Luis steel plants,Aceros Especiales Simec Tlaxcala SA de CV,E100000131089,Grupo Simec SAB de CV [100.0%],E100000130728 [100.0%],"Eje 114 #440, Zona Industrial, 78395 San Luis, S.L.P., Mexico",San Luis Potosí,San Luis Potosí,Mexico,Latin America and the Caribbean,"22.1033240, -100.9192020",exact,33,operating,816.0,,,,1993,,,,,22.103324,-100.919202,POINT (-100.919202 22.103324),,0,,,,,
1111,P100000120738,Lion Industries Amsteel Banting steel plant,Amsteel Mills Sdn Bhd,E100000130907,Lion Industries Corporation Bhd,E100000130722,"Banting, Selangor, Malaysia",Banting,Selangor,Malaysia,South-Eastern Asia,"2.8069980, 101.6010530",exact,25,mothballed,1250.0,1540.0,,1996,2001,,2025,,,2.806998,101.601053,POINT (101.601053 2.806998),,0,,,,,
1112,P100000120739,Lion Industries Amsteel Klang steel plant,Amsteel Mills Sdn Bhd,E100000130907,Lion Industries Corporation Bhd,E100000130722,"Lot 1, Jalan Waja, Bukit Raja Industrial Estate, 41050 Klang, Selangor Darul Ehsan, Malaysia",Klang,Selangor,Malaysia,South-Eastern Asia,"3.0696820, 101.4564740",exact,44,announced,1600.0,1600.0,,,1982,,,,,3.069682,101.456474,POINT (101.456474 3.069682),,0,,,,,
1113,P100000120739,Lion Industries Amsteel Klang steel plant,Amsteel Mills Sdn Bhd,E100000130907,Lion Industries Corporation Bhd,E100000130722,"Lot 1, Jalan Waja, Bukit Raja Industrial Estate, 41050 Klang, Selangor Darul Ehsan, Malaysia",Klang,Selangor,Malaysia,South-Eastern Asia,"3.0696820, 101.4564740",exact,44,operating,750.0,,,,1982,,,,,3.069682,101.456474,POINT (101.456474 3.069682),,0,,,,,
