,GEM Plant ID,GEM Asset name (English),Asset name (other language),Alternative asset name(s),SFI ID,LeadIT Project ID,Coordinates,Coordinate accuracy,GEM wiki page,Municipality,Subnational unit,Country/Area,Cement Capacity (millions metric tonnes per annum),Clinker Capacity (millions metric tonnes per annum),Majority Cement Type,Cement Color,Operating status,Start date,Owner name (English),Owner name (other language),Owner Entity ID,Parent,Parent Entity ID,Plant type,Production type,CCS/CCUS,Alternative Fuel,Clay Calcination,Alternative_to_reduce_GHG,Region,latitude,longitude,geometry,climactor_id,GDAM_id,entity_type,GID_1,which_boundaries,within_target_boundaries,GID,GID_2,GID_3,GID_4,GID_5
2383,P100000127022,ACICO Cement Shuaiba Plant,أسيكو الإسمنت (Arabic),,,,"29.001708, 48.128246",exact,https://www.gem.wiki/ACICO_Cement_Shuaiba_Plant,Shuabia,Al Ahmadi Governorate,Kuwait,3.2,,opc,both,operating,2021,ACICO Group [100.0%],,E100002004995 [100.0%],ACICO Group [100.0%],E100002004995 [100.0%],grinding,,,,,0,,29.001708,48.128246,POINT (48.128246 29.001708),,,,,,0,,,,,
2384,P100000127023,Baitak Shuaiba Cement Plant,مصنع بيتك للاسمنت (Arabic),,,,"29.018916, 48.113175",exact,https://www.gem.wiki/Baitak_Shuaiba_Cement_Plant,Shuabia,Al Ahmadi Governorate,Kuwait,2.3,,opc,grey,operating,,BAITAK Group Construction Materials Co WLL [100.0%],,E100002005726 [100.0%],BAITAK Group Construction Materials Co WLL [100.0%],E100002005726 [100.0%],grinding,,,,,0,,29.018916,48.113175,POINT (48.113175 29.018916),,,,,,0,,,,,
2385,P100000127024,Alghanim Shuaiba Cement Plant,اسمنت طارق (Arabic) ,Tarek Cement Factory,,,"29.006128, 48.116092",exact,https://www.gem.wiki/Alghanim_Shuaiba_Cement_Plant,Shuabia,Al Ahmadi Governorate,Kuwait,1,,opc,grey,operating,2002,Alghanaem Industrial Co [100.0%],,E100002005475 [100.0%],Alghanim International Corp [unknown%],E100000153494 [unknown%],grinding,,,,,0,,29.006128,48.116092,POINT (48.116092 29.006128),,,,,,0,,,,,
2386,P100000123397,Kant Cement Plant,Кантский Цементный завод (Russian),,GACTKGZ0001,,"42.913489, 74.874671",exact,https://www.gem.wiki/Kant_Cement_Plant,Kant,Chüy,Kyrgyzstan,1.1,0.8,blended,grey,operating,1964,United Cement Group PLC [100.0%],,E100002006056 [100.0%],United Cement Group PLC [100.0%],E100002006056 [100.0%],integrated,wet,no,no,no,0,Central Asia,42.913489,74.874671,POINT (74.874671 42.913489),,,,,,0,,,,,
2387,P100000123398,Technolin LLC Cement Plant,ОсОО «Технолин» (Russian),,GACTKGZ0002,,"42.912747, 74.870767",exact,https://www.gem.wiki/Technolin_LLC_Cement_Plant,Kant,Chüy,Kyrgyzstan,0.359,0.257,blended,grey,operating,1975,United Cement Group PLC [100.0%],,E100002006056 [100.0%],United Cement Group PLC [100.0%],E100002006056 [100.0%],integrated,wet,no,no,no,0,Central Asia,42.912747,74.870767,POINT (74.870767 42.912747),,,,,,0,,,,,
2388,P100000123399,Aravansky Cement Plant,Араванский цементный завод; Южный комбинат строительных материалов (Russian),,GACTKGZ0003,,"40.513996, 72.597450",exact,https://www.gem.wiki/Aravansky_Cement_Plant,"Kara-Bulak, Aravan District",Osh,Kyrgyzstan,1,,,grey,operating,2008,Southern Construction Materials Plant [100.0%],"ОcОО ""ЮЖНЫЙ КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ"" (Russian)] [100%]",E100002015687 [100.0%],Southern Construction Materials Plant [100.0%],E100002015687 [100.0%],integrated,dry,no,no,no,0,Central Asia,40.513996,72.59745,POINT (72.59745 40.513996),,,,,,0,,,,,
2389,P100000124451,South-Kyrgyz Cement Plant,Южно-Кыргызский Цемент (Russian); Түштүк-Кыргыз цементи (Kyrgyz); Кызылкийский цементный завод (Russian),,,,"40.257254, 72.192711",exact,https://www.gem.wiki/South-Kyrgyz_Cement_Plant,Kyzyl-Kiya,Batken,Kyrgyzstan,1,,blended,grey,operating,2010,Yuzhno-Kyrgyzskiy Cement CJSC [100.0%],"ЗАО ""Южно-Кыргызский цемент"" (Russian) [100%]",E100002015794 [100.0%],Huaxin Cement Co Ltd [unknown%],E100002005953 [unknown%],integrated,dry,no,no,no,0,Central Asia,40.257254,72.192711,POINT (72.192711 40.257254),,,,,,0,,,,,
2390,P100000124452,Sinzhi-Pirim Cement Plant,"Цемзавод «Синьжи-Пирим» (Russian), «Син-Дзи-Прим»",Sin-Zi Prim,,,"40.48948, 72.61913",exact,https://www.gem.wiki/Sinzhi-Pirim_Cement_Plant,"Osh, Aravan District",Osh,Kyrgyzstan,1,0.175,,,operating,2018,Sinzhi-Pirim LLC [100.0%],ОсОО «Синь-Дзи Прим» (Russian) [100%],E100002015782 [100.0%],Sinzhi-Pirim LLC [100.0%],E100002015782 [100.0%],integrated,wet,no,no,no,0,Central Asia,40.48948,72.61913,POINT (72.61913 40.48948),,,,,,0,,,,,
2391,P100000126872,Terek Tash Cement Plant,ОсОО «Терек-Таш» (Russian),,,,"42.81851, 76.00143",approximate,https://www.gem.wiki/Terek_Tash_Cement_Plant,,Chüy,Kyrgyzstan,1.7,,,,operating,2024,Terek-Tash LLC [100.0%],ОсОО «Терек-Таш» (Russian) [100%],E100002015800 [100.0%],Terek-Tash LLC [100.0%],E100002015800 [100.0%],integrated,,no,no,no,0,Central Asia,42.81851,76.00143,POINT (76.00143 42.81851),,,,,,0,,,,,
2392,P100000127593,Tyup Cement Plant,,,,,"42.728480, 78.363866",approximate,https://www.gem.wiki/Tyup_Cement_Plant,Tyup,Issyk-Kul,Kyrgyzstan,,,,,announced,,Yunsheng Mining (Yunnan) Co Ltd; China Yunsheng Group [unknown%],,E100002015837 [unknown%]; E100002016176 [unknown%],Yunsheng Mining (Yunnan) Co Ltd [unknown%]; China Yunsheng Group [unknown%],E100002015837 [unknown%]; E100002016176 [unknown%],,,,,,0,Central Asia,42.72848,78.363866,POINT (78.363866 42.72848),,,,,,0,,,,,
