climactor_id,plan_type,plan_name,plan_adopted_year,plan_end_year,plan_boundary,plan_boundary_desc,plan_url,plan_comments,datasource_id
95f86f19a1dabbf0,Integrated,London Environment Strategy:,2018,2030,Same,Boundary same as jurisdiction,https://www.london.gov.uk/sites/default/files/london_environment_strategy_0.pdf; 1.5C Climate Compatible Action Plan: https://www.london.gov.uk/sites/default/files/london_environment_strategy_0.pdf; London Environment Strategy Implementation Plan:,"The London Environment Strategy and Implementation Plan together addresses action around climate change mitigation, adaptation, energy, air quality, green infrastructure, waste, ambient noise, and transitioning to a low carbon circular economy.",CDP Cities 2024
e8b0e57c90fdee4f,Mitigation,NA,2020,2040,Same,Boundary same as jurisdiction,https://international.stockholm.se/globalassets/rapporter/climate-action-plan-2020-2023_ta.pdfhttps://miljobarometern.stockholm.se/content/docs/tema/klimat/klimatanpassning/Handlingsplan-klimatanpassning-Stockholm-2022-2025.pdf,"Main chapters of the plan are: Targets, transport, heating and cooling, electricity, gas, climate positive,  consumption-based emissions, municipal operations, implementation.",CDP Cities 2024
e8b0e57c90fdee4f,Adaptation,NA,2022,2025,Same,Boundary same as jurisdiction,https://international.stockholm.se/globalassets/rapporter/climate-action-plan-2020-2023_ta.pdfhttps://miljobarometern.stockholm.se/content/docs/tema/klimat/klimatanpassning/Handlingsplan-klimatanpassning-Stockholm-2022-2025.pdf,"The adaption plan´s focus is to ensure that adaptation issues is considered and dealt with troughout the city. It contains actions about raising knowledge and building competence, co-operation, mapping of areas subjected to heat or flooding and taking action in order to handle the identified risks. The cost of implementation is a very rough estimate and does not include all physical adaption measures needed.",CDP Cities 2024
cf247eec8f8db6cc,Integrated,NA,2021,2025,Same,Boundary same as jurisdiction,https://www.derbyshire.gov.uk/site-elements/documents/pdf/environment/climate-change/climate-change-strategy.pdf,NA,CDP Cities 2024
bed494a151c38cec,Integrated,NA,2021,2050,Larger,Wider boundary: Includes Thurrock and Southend-on-Sea Councils too.,https://www.essexclimate.org.uk/sites/default/files/DS21_7178%20ECAC_Commission_Report-Final.pdfhttps://cmis.essex.gov.uk/essexcmis5/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=%2bkCBX0qStHHFQE5buJyHBCmdBe0H%2bcOKmM4L7Oj7pRXAcm6Z75L%2bZA%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,"In 2020, Essex County Council (ECC) established the Essex Climate Action Commission (ECAC) as an independent advisory body to support Essex on its journey to tackle climate change, reduce greenhouse gas emissions and to build a climate resilient county.  The ECAC has over 30 members. They include local councillors, academics, business people and two members of the Young Essex Assembly. In July 2021, the ECAC published its report, ‘Net Zero: Making Essex Carbon Neutral’. This report is considered an integrated climate plan, addressing mitigation, adaptation and energy-related issues, regarding six core themes: 1) Land Use and Green Infrastructure, 2) Energy; 3) Built Environment; 4) Transport, 5) Waste; and 6) Community Engagement. The recommendations were endorsed by Essex County Council in full in November 2021.  The purpose of the ECAC to May 2025 is to monitor and drive implementation of the recommendations on the race to net zero across greater Essex by: • Advising on priorities for direction in the focus areas of the Special Interest Groups; • Reviewing and evaluating progress towards Net Zero; • Supporting the adoption of climate positive policies and practices at all levels of local authorities in the region; • Facilitating collective action across the county; • Encouraging public engagement with residents, businesses, schools, communities, third sector organisations and other institutions of Essex. Work plans for the ECAC will be set out and agreed by the ECAC for each year of activity. (https://www.essex.gov.uk/sites/default/files/migration_data/files/assets.ctfassets.net/knkzaf64jx5x/19xSQKa5iZ2JYS6qFlZOU2/7d4e0ce73061398733d375f3cf150b6a/ECAC-terms-of-reference.pdf)",CDP Cities 2024
bed494a151c38cec,Integrated,NA,2023,2025,Larger,Wider boundary: Includes Thurrock and Southend-on-Sea Councils too.,https://www.essexclimate.org.uk/sites/default/files/DS21_7178%20ECAC_Commission_Report-Final.pdfhttps://cmis.essex.gov.uk/essexcmis5/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=%2bkCBX0qStHHFQE5buJyHBCmdBe0H%2bcOKmM4L7Oj7pRXAcm6Z75L%2bZA%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,"The Essex Climate Action Commission (ECAC)’s report ‘Net Zero: Making Essex Carbon Neutral’ sets out recommendations to 2050 and recognises that Essex County Council (ECC) cannot tackle climate and environmental challenges alone. ECC’s Climate Action Plan outlines the immediate actions ECC is taking directly and in concert with partners to drive effective progress against ECAC recommendations. It is structured following ECAC’s report core themes with the addition of a new theme focused on local business-oriented projects. In its first version in 2021 the themes were: 1) Land Use and Green Infrastructure, 2) Energy; 3) Built Environment; 4) Transport, 5) Waste; and 6) Community Engagement; 7) Supporting Our Businesses. However, since original publication, there have been significant changes at regional, national, and international levels which have impacted Essex residents. Therefore, the plan has been reassessed and a second edition of the plan was launched in July 2023. This current version widened up the theme seven ‘Supporting Our Businesses’ to add just transition and green economy, renaming the theme as ‘A Just Transition to Green Economy’.",CDP Cities 2024
bc3bcb0be86184b4,Integrated,NA,2021,2050,Same,Boundary same as jurisdiction,https://files.lasvegasnevada.gov/planning/CLV-2050-Master-Plan.pdf,Use of consultant team also took place,CDP Cities 2024
62d7bba061821f37,Mitigation,Climate Emergency Annual Report,2019,2030,Same,Boundary same as jurisdiction,httpNAhttpNA,Leeds City Council is developing a more detailed formal climate action plan based on the above document and Leeds Climate Commission roadmap.,CDP Cities 2024
62d7bba061821f37,Adaptation,Leeds Climate Adaptation and Resilience Plan (plus 3 appendices),2022,NA,Same,Boundary same as jurisdiction,httpNAhttpNA,"This document sets out plans to build the city’s resilience and adapt to the impacts of climate change, in line with the government’s National Adaptation Programme and latest UK Climate Change Risk Assessment (CCRA). This report summarises some of the activity that has taken place to date, along with plans to undertake a council-wide climate risk assessment and further develop the city’s resilience to climate change over the year ahead and beyond.Whilst there is significant work taking place across the council to address the impacts of climate change and robust arrangements in place for dealing with severe weather and planning for potential economic shocks, there is a need to undertake a comprehensive climate risk assessment of all council services to identify any gaps and opportunities to ‘future proof’ and enhance existing policy. Following an initial audit of service plans, the Climate, Energy and Green Spaces team will deliver a series of workshops with council teams, with support from academic partners, to identify climate related risks to individual services, what activity is already taking place to address such risks, and how teams can build further resilience within their own policies and frameworks. This will include a full review of service level business continuity plans. An update will be provided in September 2023",CDP Cities 2024
5ecab44f1122d755,Integrated,NA,2020,2040,Same,Boundary same as jurisdiction,https://www.enfield.gov.uk/__data/assets/pdf_file/0011/4610/enfield-climate-action-plan-2020-environment.pdfhttps://www.enfield.gov.uk/__data/assets/pdf_file/0012/13503/Blue-and-Green-Strategy-Adopted-Planning.pdf,"This Climate Action Plan sets out our vision for reducing borough-wide emissions, and how we will work with our staff, suppliers, residents, businesses, schools, statutory partners and government to become a carbon neutral organisation by 2030 and create a carbon neutral borough by 2040. To achieve this, our plan sets out the action that we will take in the following areas:  1. The Council’s operations2. Travel3. Buildings4. Waste5. Energy6. Natural environment7. Influencing others",CDP Cities 2024
