"iso","entity_type","climactor_id","baseline_value","baseline_year","inv_year","total_emissions","target_year","target_value","target_record","GDAM_id"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1981,57821516.6424894,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1982,58985062.6914243,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1983,57159617.122909,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1984,60930568.9582126,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1985,61525351.8040416,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1986,60730702.2010596,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1987,61400721.7259956,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1988,63763890.9409043,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1989,64982459.2630231,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1990,66543907.5580285,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1991,67739742.0030772,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1992,68738890.9930305,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1993,72443938.9885557,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1994,73001175.2153528,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1995,73059672.4869466,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1996,76011772.0755592,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1997,76150940.0529271,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1998,78417977.3015144,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,1999,80458151.5994058,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2000,85516380.4062966,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2001,93301222.885794,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2002,91603485.2735696,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2003,91002479.9575848,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2004,93545791.0098329,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2005,95751759.5253666,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2006,96625992.4667917,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2007,99331120.3868082,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2008,97387166.2591242,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2009,93326193.3247177,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2010,95887378.064722,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2011,92505628.4038422,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2012,91207129.6125711,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2013,92138126.4203337,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2014,92774119.968985,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2015,91308856.7027661,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2016,88428665.0898815,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2017,88778170.9185102,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2018,90066246.6345426,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2019,91747156.2921612,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2020,79911265.2852634,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"USA","Region","029026fcb6a3a6d5",85381781.4833405,2021,2021,85381781.4833405,2050,100,"029026fcb6a3a6d5_2050","USA.6_1"
"COL","SubRegion","029d224889009a38",561010.01,2019,2021,1146248,2050,100,"029d224889009a38_2050","COL.22.52_2"
"COL","SubRegion","029d224889009a38",561010.01,2019,2019,561010.01,2050,100,"029d224889009a38_2050","COL.22.52_2"
"USA","City","029eabf67f9ddbc6",3659901,2021,2021,3659901,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
"USA","City","029eabf67f9ddbc6",3659901,2021,2019,4192707,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
"USA","City","029eabf67f9ddbc6",3659901,2021,2018,4651230,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
"USA","City","029eabf67f9ddbc6",3659901,2021,2017,5003906,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
"USA","City","029eabf67f9ddbc6",3659901,2021,2016,5054164,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
"USA","City","029eabf67f9ddbc6",3659901,2021,2015,5055886,2040,100,"029eabf67f9ddbc6_2040","USA.5.38.1600000US0667000"
