iso,climactor_id,GDAM_id,baseline_value,baseline_year,target_year,target_value,target_year_emission,annualized_ambition
BEL,0f8567ad99662b77,BEL.2.2.1.3_1,95068.9,2011,2030,40.0,57041.34,0.01786680031720378
MEX,0fa93616df5cba59,MEX.7.33_2,1198851.0,2019,2024,1.0,1186862.49,0.001992047666533381
ESP,0fb44d1a7ea148c4,ESP.09.08.08307,264519.0,2005,2030,40.0,158711.4,0.01354986801622915
CRI,0fd764f3eb5fd5d2,CRI.7.16_1,249931.05,2021,2030,55.0,112468.97249999999,0.04990007431919552
BEL,0fd965b8aa1ce733,BEL.3.2.5.2_1,55855.3,2006,2030,63.0,20666.461,0.020566127837781778
AUT,0ff7dfe3b74901e5,AUT.3_1,12954000.0,2005,2030,36.0,8290560.0,0.012375336516443403
FRA,0ffbc1e349a0a3fb,FRA.MA.248600413,591710.6,2018,2050,75.0,147927.65,0.017641803631836206
JPN,1015455b02cb7381,JPN.1,24362000.0,2013,2050,100.0,0.0,0.018910284405250666
TWN,1025fe269da76493,TWN.1.1_1,331516.0,2020,2025,10.548,296547.69232,0.02025839735959689
ESP,102a2be30462ec06,ESP.04.07.07012,14259.6,2005,2050,100.0,0.0,0.015522512504275054
ESP,10a346461359c7ee,ESP.09.08.08183,24888.14,2005,2030,40.0,14932.883999999998,0.01354986801622915
ITA,10aa2332a501ae61,ITA.5.24.075,21647.4,2008,2030,45.0,11906.070000000002,0.017032682327296378
ITA,10ab9266762dbf54,ITA.8.40.036,14014.2,2007,2030,55.0,6306.389999999999,0.01923725894212791
ITA,10ca6ad27c87421e,ITA.2.7.059,1726.4,2011,2030,40.0,1035.84,0.017866800317204
ITA,10f30fb82518a663,ITA.5.24.063,10919.4,2010,2023,30.0,7643.579999999999,0.020386897344028876
FRA,10fefbec8b1256f4,FRA.52,202441.0,2015,2030,50.0,101220.5,0.02739965906371644
ITA,110950e107cf4148,ITA.8.34.031,64960.8,2008,2050,43.1,36962.6952,0.008569209661042354
