,iso,entity_type,climactor_id,baseline_value,baseline_year,inv_year,target_year,target_value,target_record,GDAM_id,target_year_emission,annualised_ambition_from_baseline,annualised_ambition,2019_emissions_for_total_ambition,2030_emissions,absolute_ambition
2968,BEL,City,53d0d496815c4e08,109343.7,2011,2020.0,2030,40.0,53d0d496815c4e08_2030,BEL.2.2.2.3_1,65606.22,0.01786680031720378,0.021911844793988333,94657.907943037,65606.22,29051.687943037003
2969,ESP,City,53df3858d5814b57,12191.2,2010,2010.0,2030,42.0,53df3858d5814b57_2030,ESP.12.32.32045,7070.896000000002,0.01768744610159878,0.01768744610159878,10382.303139081203,7070.896000000002,3311.4071390812014
2970,USA,City,53efeec28883b954,270041.0,2017,2017.0,2030,100.0,53efeec28883b954_2030,USA.31.9.1600000US3432250,0.0,0.054766076481646664,0.054766076481646664,241272.76809985004,0.0,241272.76809985004
2972,ESP,City,53f71120b7eeb103,96673.3,2015,2015.0,2030,40.0,53f71120b7eeb103_2030,ESP.12.15.15002,58003.98,0.02268495988716035,0.02268495988716035,88195.18444901184,58003.98,30191.204449011835
2983,ESP,City,543f2196e873b58d,27789.1,2005,2017.0,2030,40.0,543f2196e873b58d_2030,ESP.04.07.07001,16673.46,0.01354986801622915,0.023153208258788638,22957.59420748502,16673.46,6284.134207485022
2986,BEL,City,545706ae20ca5f00,123996.1,2011,2020.0,2030,40.0,545706ae20ca5f00_2030,BEL.2.2.1.16_1,74397.66,0.01786680031720378,0.016923360425820544,107342.36557840655,74397.66,32944.705578406545
3042,ESP,City,5492ba76af136bb1,2033.9,2010,2010.0,2030,40.0,5492ba76af136bb1_2030,ESP.12.32.32044,1220.34,0.01696592574647271,0.01696592574647271,1743.5995252316745,1220.34,523.2595252316746
3043,ITA,City,549b7adb9f9abc3e,1945.0,2011,2011.0,2030,79.0,549b7adb9f9abc3e_2030,ITA.19.82.069,408.44999999999993,0.031117254385039095,0.031117254385039095,1510.390969190902,408.44999999999993,1101.9409691909023
3048,ESP,City,54a3f187ec52db87,19542.8,2010,2010.0,2030,40.3,54a3f187ec52db87_2030,ESP.12.32.32008,11667.051599999999,0.01707477562924664,0.01707477562924664,16736.749279545504,11667.051599999999,5069.697679545505
3052,ESP,City,54d07259583d7734,95657.6,2007,2015.0,2030,40.0,54d07259583d7734_2030,ESP.01.41.41011,57394.560000000005,0.014736758555106588,0.01793221323538563,80047.32876265483,57394.560000000005,22652.76876265482
3054,ESP,City,54e2e68566e5938a,25391.88,2007,2013.0,2030,40.0,54e2e68566e5938a_2030,ESP.01.11.11037,15235.128,0.014736758555106588,0.0173778893967238,21248.203658275765,15235.128,6013.075658275764
3055,ESP,City,550f91a9e44238cd,12434.9,2019,2019.0,2030,40.0,550f91a9e44238cd_2030,ESP.12.27.27006,7460.94,0.031061016501513494,0.031061016501513494,12434.9,7460.94,4973.96
3059,ESP,City,5524a66b9cd04c5f,3626.9,2010,2015.0,2030,40.0,5524a66b9cd04c5f_2030,ESP.10.46.46173,2176.14,0.01696592574647271,0.023413357617048103,3109.2291253565863,2176.14,933.0891253565865
3063,ITA,City,552968512b0caf6b,69349.02,2007,2017.0,2030,40.0,552968512b0caf6b_2030,ITA.5.26.063,41609.412000000004,0.014736758555106588,0.021135789835508012,58032.020490875,41609.412000000004,16422.608490874998
3064,ESP,City,5532aa4a3dfc556c,71649.3,2010,2010.0,2030,40.0,5532aa4a3dfc556c_2030,ESP.12.36.36055,42989.58,0.01696592574647271,0.01696592574647271,61422.727500458146,42989.58,18433.147500458144
3065,ITA,City,5536c5d3f1c866c2,26376.23,2007,2007.0,2030,40.0,5536c5d3f1c866c2_2030,ITA.8.35.018,15825.738,0.014736758555106588,0.014736737049192872,22071.918533701442,15825.738,6246.180533701443
3066,UKR,City,554627803d9231bc,23045.1,2017,2017.0,2030,32.94,554627803d9231bc_2030,UKR.65.10.005,15454.04406,0.022143744145842525,0.022143744145842525,22035.790462457364,15454.04406,6581.746402457364
3067,ESP,City,557d9271df0f7184,1980.4,2005,2005.0,2030,40.0,557d9271df0f7184_2030,ESP.09.43.43098,1188.24,0.01354986801622915,0.01354986801622915,1636.0810378350989,1188.24,447.84103783509886
3068,UKR,City,55835e943740f01c,51743.8,2015,2015.0,2030,32.48,55835e943740f01c_2030,UKR.73.06.049.001,34937.41376,0.01892766654539413,0.01892766654539413,47936.0709167342,34937.41376,12998.657156734196
3074,ITA,City,55be87cb5ad15795,22516.6,2011,2011.0,2030,40.0,55be87cb5ad15795_2030,ITA.19.87.055,13509.96,0.01786680031720378,0.01786680031720378,19492.428461723783,13509.96,5982.468461723784
3077,ESP,City,55cfda16447a38fc,54967.3,2010,2015.0,2030,40.0,55cfda16447a38fc_2030,ESP.10.46.46145,32980.38,0.01696592574647271,0.01719732088471493,47121.76517196865,32980.38,14141.38517196865
